ticker,disclosure_date,positive_sentiment,neutral_sentiment,negative_sentiment,compound_sentiment
AAPL,2023-02-02,0.939026,0.04036589,0.02060809,0.91841793
AAPL,2023-03-10,0.9006524,0.047102828,0.052244756,0.8484076
AAPL,2023-05-04,0.93825614,0.04130525,0.020438652,0.9178175
AAPL,2023-05-10,0.9374924,0.033278946,0.029228628,0.90826374
AAPL,2023-08-03,0.9400084,0.03898698,0.02100464,0.9190037
AAPL,2023-11-02,0.93908536,0.040305108,0.020609528,0.91847587
AAPL,2024-02-01,0.939026,0.04036589,0.02060809,0.91841793
AAPL,2024-02-28,0.90543467,0.054562844,0.040002413,0.86543226
AAPL,2024-05-02,0.93824744,0.041344874,0.020407708,0.91783977
AAPL,2024-05-03,0.9318509,0.04784426,0.020304827,0.9115461
AAPL,2024-08-01,0.94000345,0.039021786,0.020974789,0.91902864
AAPL,2024-08-23,0.9260925,0.055892877,0.018014705,0.9080778
AAPL,2024-08-26,0.9380812,0.033893533,0.028025327,0.9100559
AAPL,2024-09-10,0.8427575,0.10418083,0.053061645,0.78969586
AAPL,2024-10-31,0.93891764,0.040416785,0.02066558,0.91825205
AMT,2022-12-08,0.92815983,0.04647163,0.02536856,0.90279126
AMT,2023-02-23,0.94330394,0.03473568,0.021960374,0.92134356
AMT,2023-03-01,0.95208156,0.025960034,0.021958465,0.9301231
AMT,2023-03-02,0.9217578,0.040679976,0.037562173,0.8841956
AMT,2023-03-03,0.935719,0.040241066,0.024039952,0.911679
AMT,2023-03-08,0.952153,0.021814773,0.02603224,0.92612076
AMT,2023-03-09,0.92953426,0.04091494,0.029550811,0.89998347
AMT,2023-03-13,0.93965614,0.02955005,0.030793834,0.9088623
AMT,2023-03-31,0.5689505,0.393294,0.037755486,0.531195
AMT,2023-04-26,0.94263303,0.035463043,0.021903962,0.92072904
AMT,2023-05-09,0.95445156,0.022795111,0.022753254,0.9316983
AMT,2023-05-16,0.93689114,0.03899155,0.024117285,0.9127739
AMT,2023-05-22,0.9536496,0.023964267,0.022386122,0.93126345
AMT,2023-05-25,0.93389887,0.03952032,0.02658081,0.90731806
AMT,2023-06-29,0.8787167,0.089711785,0.03157151,0.84714526
AMT,2023-07-20,0.9396577,0.040037952,0.020304326,0.91935337
AMT,2023-07-27,0.94306666,0.034959882,0.021973427,0.9210932
AMT,2023-09-12,0.9528295,0.023634043,0.023536496,0.92929304
AMT,2023-09-15,0.93721706,0.03834432,0.024438567,0.91277856
AMT,2023-09-20,0.9358261,0.037533127,0.026640736,0.9091854
AMT,2023-10-26,0.94286513,0.03521142,0.021923495,0.92094165
AMT,2023-12-14,0.92670184,0.047011048,0.026287137,0.9004147
AMT,2024-01-05,0.9321507,0.037703015,0.030146234,0.9020045
AMT,2024-02-07,0.91998893,0.01990359,0.06010751,0.8598814
AMT,2024-02-27,0.94330394,0.03473568,0.021960374,0.92134356
AMT,2024-03-01,0.91371477,0.046628553,0.039656702,0.87405807
AMT,2024-03-04,0.9518944,0.025825888,0.02227978,0.9296146
AMT,2024-03-07,0.9364314,0.04010175,0.023466887,0.9129645
AMT,2024-03-14,0.9020185,0.05370068,0.04428089,0.85773754
AMT,2024-04-30,0.94263303,0.035463043,0.021903962,0.92072904
AMT,2024-05-22,0.95445156,0.022795111,0.022753254,0.9316983
AMT,2024-05-24,0.91104084,0.060773466,0.028185682,0.8828552
AMT,2024-05-29,0.9383971,0.037828255,0.023774631,0.9146225
AMT,2024-07-30,0.94306666,0.034959882,0.021973427,0.9210932
AMT,2024-09-12,0.9412017,0.03373818,0.025060069,0.9161416
AMT,2024-10-29,0.94286513,0.03521142,0.021923495,0.92094165
AMT,2024-10-31,0.92396253,0.050690737,0.025346752,0.8986158
AMZN,2022-11-18,0.94708747,0.027141666,0.025770897,0.92131656
AMZN,2022-12-01,0.9431879,0.02950551,0.02730654,0.9158814
AMZN,2023-01-03,0.9429116,0.033825558,0.023262741,0.91964895
AMZN,2023-01-06,0.9399731,0.039903656,0.020123195,0.91984993
AMZN,2023-02-02,0.9310124,0.04735843,0.02162924,0.9093832
AMZN,2023-04-12,0.9482947,0.029555034,0.022150286,0.9261444
AMZN,2023-04-27,0.9375361,0.040130742,0.0223331,0.9152031
AMZN,2023-05-26,0.92842,0.04066445,0.030915592,0.8975044
AMZN,2023-08-03,0.93730754,0.040813383,0.0218791,0.91542846
AMZN,2023-09-13,0.9443289,0.026876794,0.028794251,0.9155347
AMZN,2023-10-26,0.9359755,0.04252287,0.02150165,0.91447383
AMZN,2023-11-01,0.94881904,0.02460752,0.02657348,0.9222455
AMZN,2024-02-01,0.9310124,0.04735843,0.02162924,0.9093832
AMZN,2024-04-10,0.94137174,0.019385364,0.039242882,0.9021288
AMZN,2024-04-30,0.9375361,0.040130742,0.0223331,0.9152031
AMZN,2024-05-03,0.9368428,0.044105984,0.019051153,0.9177916
AMZN,2024-05-14,0.83825374,0.14319111,0.018555176,0.8196986
AMZN,2024-05-24,0.925692,0.05012662,0.024181396,0.9015106
AMZN,2024-08-01,0.93730754,0.040813383,0.0218791,0.91542846
AMZN,2024-10-31,0.9359755,0.04252287,0.02150165,0.91447383
BA,2022-11-28,0.9080162,0.073972985,0.018010844,0.89000535
BA,2022-12-12,0.886129,0.0758398,0.038031228,0.84809774
BA,2022-12-22,0.94026136,0.031750754,0.027987935,0.9122734
BA,2023-01-25,0.87172806,0.10877221,0.019499697,0.8522284
BA,2023-02-17,0.9414941,0.027845783,0.030660175,0.9108339
BA,2023-03-15,0.9304648,0.03955646,0.029978745,0.90048605
BA,2023-04-11,0.9459515,0.035635438,0.0184131,0.9275384
BA,2023-04-19,0.9281501,0.05049521,0.02135467,0.90679544
BA,2023-04-26,0.87958145,0.100067,0.020351559,0.8592299
BA,2023-07-26,0.8882996,0.092111535,0.01958887,0.8687107
BA,2023-08-24,0.9336894,0.04055958,0.025750957,0.9079385
BA,2023-09-05,0.9310144,0.046871927,0.022113651,0.9089008
BA,2023-09-22,0.94527143,0.0318232,0.022905378,0.9223661
BA,2023-10-25,0.87671363,0.103951566,0.019334849,0.8573787
BA,2023-12-11,0.9434557,0.03485841,0.021685923,0.92176974
BA,2024-01-31,0.8499893,0.12983115,0.020179555,0.82980967
BA,2024-03-25,0.92053396,0.056599617,0.022866355,0.89766765
BA,2024-04-24,0.86809635,0.11086851,0.021035131,0.8470613
BA,2024-05-03,0.9386207,0.035795107,0.025584206,0.91303647
BA,2024-05-17,0.9336929,0.041193202,0.025113946,0.90857893
BA,2024-07-01,0.9282096,0.044788416,0.027001956,0.9012077
BA,2024-07-31,0.9077613,0.06801977,0.024218962,0.88354224
BA,2024-09-13,0.029773965,0.9589442,0.011281907,0.018492058
BA,2024-09-20,0.9399702,0.038802937,0.021226898,0.9187433
BA,2024-10-11,0.91719127,0.060440693,0.02236797,0.8948233
BA,2024-10-15,0.9397545,0.031818483,0.028427035,0.91132754
BA,2024-10-23,0.862515,0.11729017,0.020194808,0.8423202
BA,2024-10-30,0.9344004,0.034038078,0.031561483,0.9028389
BA,2024-10-31,0.94423026,0.0291366,0.026633143,0.9175971
BAC,2022-12-16,0.94550705,0.031196002,0.02329697,0.9222101
BAC,2023-01-13,0.94724965,0.03250843,0.02024197,0.9270077
BAC,2023-02-03,0.6936712,0.029940387,0.27638838,0.41728285
BAC,2023-03-31,0.9484452,0.02949319,0.022061624,0.9263836
BAC,2023-04-18,0.9470188,0.033131067,0.019850181,0.9271686
BAC,2023-04-28,0.9369018,0.04076777,0.022330405,0.91457134
BAC,2023-06-26,0.9507439,0.026186556,0.023069587,0.9276743
BAC,2023-07-05,0.94099617,0.0217207,0.037283115,0.9037131
BAC,2023-07-18,0.9470251,0.033045728,0.019929118,0.92709607
BAC,2023-09-29,0.9445775,0.032847133,0.022575352,0.92200214
BAC,2023-10-17,0.9467998,0.033466753,0.019733442,0.9270663
BAC,2024-01-08,0.93818444,0.036195807,0.025619805,0.91256464
BAC,2024-01-12,0.94724965,0.03250843,0.02024197,0.9270077
BAC,2024-02-02,0.49834993,0.028820332,0.4728297,0.025520235
BAC,2024-04-16,0.9470188,0.033131067,0.019850181,0.9271686
BAC,2024-04-26,0.9390405,0.038419437,0.0225401,0.9165004
BAC,2024-05-10,0.94355804,0.037858926,0.018583087,0.9249749
BAC,2024-06-21,0.9335691,0.042458788,0.023972102,0.909597
BAC,2024-06-28,0.9204695,0.029429687,0.050100762,0.8703688
BAC,2024-07-16,0.9470251,0.033045728,0.019929118,0.92709607
BAC,2024-07-24,0.9520013,0.02433594,0.023662783,0.9283385
BAC,2024-10-15,0.9467998,0.033466753,0.019733442,0.9270663
CAT,2023-01-31,0.93748045,0.04117271,0.021346845,0.91613364
CAT,2023-02-02,0.946573,0.028142411,0.025284573,0.92128843
CAT,2023-04-27,0.94005185,0.038458064,0.021490091,0.91856176
CAT,2023-06-20,0.9411764,0.028363442,0.030460201,0.9107162
CAT,2023-08-01,0.94081837,0.03748105,0.021700606,0.91911775
CAT,2023-08-09,0.815525,0.15383884,0.030636113,0.78488886
CAT,2023-09-01,0.93281895,0.035762478,0.03141851,0.9014005
CAT,2023-10-16,0.9284744,0.034316394,0.03720915,0.8912653
CAT,2023-10-31,0.9394075,0.039250337,0.021342224,0.91806525
CAT,2023-12-14,0.9463073,0.03016965,0.023523128,0.92278415
CAT,2024-02-05,0.93837243,0.040284727,0.021342812,0.9170297
CAT,2024-04-03,0.8629278,0.01997973,0.11709242,0.7458354
CAT,2024-04-25,0.94005185,0.038458064,0.021490091,0.91856176
CAT,2024-06-14,0.94271755,0.029216811,0.028065613,0.9146519
CAT,2024-08-06,0.94081837,0.03748105,0.021700606,0.91911775
CAT,2024-09-04,0.92273253,0.04241316,0.03485434,0.8878781
CAT,2024-10-11,0.942233,0.03727757,0.02048941,0.92174363
CAT,2024-10-30,0.9394075,0.039250337,0.021342224,0.91806525
CMCSA,2023-10-03,0.9478605,0.025783353,0.026356176,0.92150426
CMCSA,2023-10-26,0.9503901,0.027749475,0.021860436,0.92852974
CMCSA,2023-12-06,0.932996,0.048008244,0.01899572,0.9140003
CMCSA,2024-01-25,0.9500494,0.028141368,0.02180921,0.92824024
CMCSA,2024-04-15,0.9374385,0.03823013,0.024331339,0.91310716
CMCSA,2024-04-25,0.95038295,0.027852908,0.021764081,0.9286189
CMCSA,2024-05-17,0.9358633,0.03614339,0.02799332,0.90787
CMCSA,2024-05-22,0.94177693,0.03163737,0.026585672,0.9151913
CMCSA,2024-06-12,0.94316,0.036802195,0.020037781,0.9231222
CMCSA,2024-07-23,0.9505774,0.027300538,0.022122117,0.92845523
CMCSA,2024-09-23,0.9349628,0.044443905,0.020593304,0.9143695
CMCSA,2024-09-26,0.94276446,0.030570216,0.026665298,0.9160992
CMCSA,2024-10-31,0.9503901,0.027749475,0.021860436,0.92852974
CVX,2022-12-07,0.9337206,0.045615517,0.02066388,0.91305673
CVX,2023-01-27,0.9225262,0.043514084,0.0339597,0.8885665
CVX,2023-04-28,0.92994845,0.05123184,0.018819716,0.91112876
CVX,2023-05-22,0.9367731,0.03802669,0.025200246,0.9115729
CVX,2023-06-02,0.9217922,0.049314436,0.02889338,0.89289886
CVX,2023-07-24,0.9384067,0.041089028,0.02050427,0.91790247
CVX,2023-07-26,0.89766526,0.07603826,0.026296524,0.87136877
CVX,2023-07-28,0.9296465,0.05167978,0.018673737,0.9109727
CVX,2023-08-07,0.9419864,0.03568677,0.022326827,0.91965955
CVX,2023-10-23,0.91222686,0.054321606,0.033451524,0.8787753
CVX,2023-10-27,0.9291021,0.052392524,0.018505367,0.9105967
CVX,2023-11-24,0.9428541,0.03018277,0.02696313,0.915891
CVX,2023-12-08,0.86540884,0.09990069,0.034690477,0.83071834
CVX,2024-01-02,0.9070754,0.05746358,0.035461012,0.8716144
CVX,2024-02-02,0.9318967,0.036655087,0.031448234,0.9004485
CVX,2024-04-26,0.92994845,0.05123184,0.018819716,0.91112876
CVX,2024-05-31,0.92035514,0.05082519,0.02881973,0.8915354
CVX,2024-07-31,0.85429317,0.10827608,0.03743078,0.8168624
CVX,2024-08-02,0.90498126,0.07574346,0.019275334,0.8857058
CVX,2024-09-30,0.9286858,0.04366458,0.027649643,0.90103614
CVX,2024-10-07,0.9450112,0.025733044,0.029255778,0.9157554
CVX,2024-11-01,0.92908347,0.05231016,0.01860638,0.9104771
DOW,2023-01-26,0.89348197,0.068241335,0.038276702,0.8552053
DOW,2023-01-31,0.9290459,0.05236037,0.018593732,0.91045225
DOW,2023-04-18,0.9365305,0.041234717,0.022234857,0.9142956
DOW,2023-04-25,0.9163078,0.064979315,0.018712875,0.8975949
DOW,2023-07-25,0.914458,0.06704444,0.018497555,0.89596045
DOW,2023-10-24,0.9137646,0.06772212,0.01851328,0.89525133
DOW,2023-10-25,0.94065166,0.03215698,0.027191352,0.91346025
DOW,2023-12-18,0.9474834,0.027486717,0.025029827,0.92245364
DOW,2024-01-25,0.9137258,0.06787907,0.018395117,0.89533067
DOW,2024-01-30,0.9164406,0.05831035,0.025249055,0.8911916
DOW,2024-02-09,0.9416429,0.033171423,0.025185715,0.9164572
DOW,2024-02-20,0.9436592,0.034979668,0.021361154,0.922298
DOW,2024-04-15,0.93645114,0.04117369,0.02237517,0.914076
DOW,2024-04-25,0.9163078,0.064979315,0.018712875,0.8975949
DOW,2024-05-16,0.91243714,0.039373733,0.048189126,0.86424804
DOW,2024-07-25,0.914458,0.06704444,0.018497555,0.89596045
DOW,2024-09-12,0.9253851,0.051802285,0.02281266,0.9025724
DOW,2024-10-24,0.9137646,0.06772212,0.01851328,0.89525133
DUK,2022-12-05,0.930809,0.051695466,0.017495506,0.9133135
DUK,2022-12-08,0.94484556,0.026690442,0.028464027,0.9163815
DUK,2022-12-27,0.89865196,0.03334809,0.067999914,0.83065206
DUK,2023-01-03,0.90614104,0.020260379,0.07359856,0.83254254
DUK,2023-01-06,0.9467008,0.024685152,0.028614063,0.91808677
DUK,2023-01-19,0.9325571,0.03137343,0.036069453,0.8964876
DUK,2023-02-08,0.9427204,0.037206937,0.020072674,0.9226477
DUK,2023-03-10,0.8572652,0.12419999,0.018534837,0.83873034
DUK,2023-04-03,0.9435711,0.03214503,0.024283843,0.9192873
DUK,2023-04-04,0.94564867,0.032923087,0.021428213,0.92422044
DUK,2023-04-06,0.9414889,0.025738155,0.032772973,0.9087159
DUK,2023-04-28,0.923062,0.04006546,0.036872484,0.8861896
DUK,2023-05-08,0.9436909,0.03625562,0.02005344,0.92363745
DUK,2023-05-09,0.9368954,0.03550264,0.027601993,0.90929335
DUK,2023-06-12,0.82414764,0.124909215,0.05094315,0.7732045
DUK,2023-06-15,0.943508,0.02753496,0.02895703,0.914551
DUK,2023-08-07,0.9439949,0.035429675,0.020575412,0.9234195
DUK,2023-08-21,0.92880476,0.04089746,0.030297793,0.898507
DUK,2023-08-22,0.92571056,0.047615513,0.026673911,0.89903665
DUK,2023-08-28,0.89533067,0.056423843,0.048245475,0.8470852
DUK,2023-09-08,0.94325864,0.026545756,0.030195544,0.91306317
DUK,2023-11-01,0.9431654,0.03661638,0.020218208,0.92294717
DUK,2023-12-18,0.9328925,0.039589398,0.02751806,0.90537447
DUK,2023-12-19,0.936528,0.040277503,0.023194429,0.91333365
DUK,2024-01-05,0.9436544,0.028883545,0.027462047,0.91619235
DUK,2024-01-12,0.945863,0.027935885,0.026201092,0.9196619
DUK,2024-01-31,0.92272675,0.041570544,0.035702676,0.8870241
DUK,2024-02-07,0.94354653,0.036181618,0.020271879,0.92327464
DUK,2024-03-15,0.9396659,0.030473843,0.029860208,0.9098057
DUK,2024-04-12,0.9442712,0.025968153,0.029760614,0.9145106
DUK,2024-05-06,0.9436909,0.03625562,0.02005344,0.92363745
DUK,2024-05-13,0.9147258,0.062710024,0.022564225,0.89216155
DUK,2024-06-07,0.9447264,0.028411187,0.026862381,0.917864
DUK,2024-07-08,0.9368838,0.0358278,0.027288362,0.9095955
DUK,2024-07-15,0.9434049,0.029120125,0.027474986,0.9159299
DUK,2024-08-05,0.9439949,0.035429675,0.020575412,0.9234195
DUK,2024-08-22,0.94118404,0.03050733,0.028308598,0.9128755
DUK,2024-11-06,0.9431654,0.03661638,0.020218208,0.92294717
HD,2022-11-15,0.9311031,0.048287507,0.020609368,0.91049373
HD,2023-02-21,0.92746115,0.05238795,0.020150905,0.90731025
HD,2023-02-28,0.93915826,0.025522768,0.035318945,0.90383935
HD,2023-04-19,0.74223906,0.23046122,0.027299719,0.71493936
HD,2023-05-16,0.9303732,0.04914286,0.020483956,0.9098893
HD,2023-05-23,0.93561584,0.032529924,0.031854227,0.9037616
HD,2023-06-20,0.92607284,0.05174044,0.022186756,0.9038861
HD,2023-07-13,0.93731266,0.027324075,0.035363317,0.90194935
HD,2023-08-15,0.9320834,0.04741291,0.02050367,0.9115797
HD,2023-10-30,0.92777133,0.026913557,0.045315072,0.8824563
HD,2023-11-14,0.9311031,0.048287507,0.020609368,0.91049373
HD,2023-11-28,0.94499254,0.029531183,0.025476301,0.9195162
HD,2023-12-04,0.94484794,0.03202615,0.023125894,0.92172205
HD,2024-01-10,0.74682254,0.23046939,0.022708056,0.7241145
HD,2024-02-20,0.9248485,0.054462403,0.020689078,0.9041594
HD,2024-03-28,0.9117939,0.06055853,0.027647534,0.8841464
HD,2024-05-09,0.9400619,0.026369449,0.03356857,0.90649337
HD,2024-05-14,0.93051136,0.048702717,0.020785961,0.90972537
HD,2024-05-22,0.93089753,0.036636557,0.03246596,0.8984316
HD,2024-05-30,0.6603967,0.3216122,0.017991101,0.64240557
HD,2024-06-18,0.94185627,0.03431018,0.02383357,0.91802275
HD,2024-06-25,0.94742525,0.028901838,0.023672901,0.9237523
HD,2024-06-27,0.41835415,0.5513504,0.030295374,0.38805878
HD,2024-08-13,0.93222153,0.046972767,0.020805676,0.9114158
HD,2024-11-12,0.9312412,0.04784736,0.020911373,0.9103298
JNJ,2022-11-30,0.9210832,0.057376616,0.021540195,0.89954305
JNJ,2022-12-22,0.9216156,0.042962797,0.035421602,0.886194
JNJ,2023-01-24,0.9142387,0.0574059,0.028355408,0.8858833
JNJ,2023-02-14,0.9326744,0.046002213,0.021323334,0.9113511
JNJ,2023-03-31,0.86624146,0.11436418,0.019394338,0.8468471
JNJ,2023-04-04,0.90420985,0.042070642,0.05371947,0.8504904
JNJ,2023-04-18,0.8800028,0.06902944,0.05096778,0.829035
JNJ,2023-04-28,0.92798007,0.049604222,0.022415718,0.9055643
JNJ,2023-05-08,0.9390187,0.032098696,0.028882626,0.9101361
JNJ,2023-07-20,0.9104196,0.061441995,0.028138354,0.8822812
JNJ,2023-07-24,0.94578445,0.033135567,0.021079984,0.9247045
JNJ,2023-07-28,0.9098196,0.06814015,0.022040267,0.88777936
JNJ,2023-08-25,0.9497492,0.025668453,0.024582349,0.92516685
JNJ,2023-08-30,0.9344939,0.02526271,0.04024339,0.8942505
JNJ,2023-10-17,0.90235627,0.07082585,0.026817827,0.87553847
JNJ,2023-10-23,0.76352113,0.21593107,0.020547807,0.7429733
JNJ,2023-11-27,0.9375861,0.03723117,0.025182676,0.91240346
JNJ,2023-11-30,0.87896514,0.08649753,0.034537397,0.8444277
JNJ,2023-12-05,0.9437075,0.026941877,0.029350596,0.91435695
JNJ,2024-01-23,0.8800883,0.09408861,0.025823044,0.85426533
JNJ,2024-04-16,0.84431994,0.10970254,0.0459775,0.79834247
JNJ,2024-04-29,0.92604566,0.052424863,0.021529451,0.9045162
JNJ,2024-05-01,0.79436654,0.17205048,0.033582985,0.7607836
JNJ,2024-05-17,0.9500156,0.023902882,0.026081512,0.9239341
